product_name,brands,nutriscore_grade
Escalopes de dinde,Volandrie,a
"Carottes râpées, citron de sicile",Bonduelle,a
Breizh’pom,"",a
Authentic Recipe Falafel,Nutri Foods,a
"Salade saumon, crevette",Monoprix,a
Origan extra,Espig,a
Farina di grano tenero TIPO 00,Molino Rossetto,a
Fatteh: pois chiches bio & patates douces mijotés,Seazon,a
Vermicelles,"Carrefour Bio,Carrefour",a
Andros compote pommes morceaux et vanille,Andros,a
Ma compote de pomme des Alpes françaises,Mon Bio Gourmand,a
Tagliatelles artisanales cèpes et chataignes,La Vie Claire,a
Duo de lentilles aux épices à l'indienne,SI BON,a
soya chunks,natco,a
Filet de dinde,Maître Coq,a
Couscous,"Léa Nature, I love nature",a
Mes Carottes rapees,Pierre Martinet,a
Saint eloi choux fleurs zéro résidu de pesticides,Saint Eloi,a
saguaro,Lidl,a
Galettes Épeautre son d’avoine,Bjorg,a
Cube de filets de poulet,Volandrie,a
Purée pomme abricot,Biocoop,a
Filets de poulets,,a
Gazpacho soupe froide de légumes frais,Bio Village,a
Tortillas Guanajuato,,a
Soupe de moules à la salicorne de Bretagne,,a
Feuilles de Lasagnes,Envi-bio,a
Feuilles d’épinards,Thiriet,a
Pain de mie soecial sandwich complet,"",a
Farine de maïs,Bio par Nature,a
Skyr vanille,,a
Dessert Pomme Framboise,Casino,a
Penne au blé dur français,Valfleuri,a
APEROCLASSIC - Tomate Basilic&Romarin,Hénaff,a
British Spring Water,,a
Broccoli surgelati,"",a
Haricots verts extra croquants cuits à la vapeur,Bonduelle,a
Riso Carnaroli,"",a
Haricots beurre coupé,Saint eloi,a
Farine de riz blanc,Bio par nature,a
Pousses de haricots mungo,Priméal,a
Queue de crevette,Eismann,a
Poulet et riz à l'espagnole,Seazon,a
Abricots moelleux,,a
Carotte,Rochambeau,a
Farine d’engrain petit épeautre type 150,Biocer,a
Granola,BAMBOO,a
Kiwi,Zespri,a
Eau minerale naturelle,Volvic,a
Filet mignon de porc,L'Étal du Boucher,a
2 biftecks,Charal,a
Colin d'alaska a la moutarde Bio,Findus,a
Purée de pêche blanche,Le Fromager Des Halles,a
Tourte de seigle bio,Casino,a
Tomates pelees concassees,,a
Pain de mis,Harry's,a
Hipro,Danone,a
Brochettes de dinde,Le Gaulois,a
Farina Denti Grano Tenero 00 KG 1,Denti,a
Graines de courge toastées BIO 100g (Crousti courge),"REGAIN BIO, Regain",a
Spécialité laitière fermentée,Activia,a
Foie de veau,,a
Tranches panées de colin d'Alaska,Auchan,a
Lait note d’amande,"",a
Purée de fruit de la passion,,a
Eau minerale,,a
Salade mexicaine thon,Leader Price,a
Couscous fin,Golden Sun,a
Poulet basquaise & riz demi-complet,Seazon,a
Quinoa cuit,Auchan,a
Fromage blanc au lait de brebis Enrichi en vitamines D nature,Monoprix,a
Quinoa blanc bio Germé,Sabarot,a
Gnocchi,D'ANTELLI,a
tempeh,soy,a
Multi fruits,BACCARA,a
Le bento,Karine & Jeff,a
Torsades riz et pois chiches,Créa nature,a
Notre Poule au pot,Seazon,a
Pois et carottes,,a
Maïs croquant,,a
Coq au vin,,a
Chili con carne,Stephan,a
Auchanlait demi-écréméorigine France,Auchan,a
Riz noir interdit,Sabarot,a
Farine T45,Minoterie Burggraf-Becker,a
Flocons 5 céréales,Happy Bio,a
Skyr au lait de vache Nature,La Sélection du Crémier,a
Morceaux de Thon au Naturel,Petit Navire,a
Konjac,,a
BIO gyoza mandu,MAISON DE CORÉE,a
Farine de froment T80,Milin Kerveguen,a
Pain au blé ancien,BioFournil,a
Kiwi,Zespri,a
pilaf de petit épeautre,Karine & Jeff,a
Chips de lentilles à la pointe de sel,"Jardin Bio,Léa Nature",a
Bœuf Bourguignon,U,a
Haricot beurre,"",a
Faux-filet fumé sanglier sauvage,"",a
Filet de poulet,Le Gaulois,a
Pâtes de blé ancient Emmer pour bébé,Felicetti,a
Coles Natural Spring Water (australia),Coles,a
Houmous aux citrons confits,L'Atelier Blini,a
Filets de poulet jaune en aiguillettes,Maître Coq,a
purée pomme vanille,La Vie Claire,a
Escalope de dinde à la milanaise,,a
Haricots rouges,PROSAIN,a
Farine de blé fluide,Francine,a
Melon charentais,,a
eau minérale naturelle,,a
Skyr Myrtille,"Délisse,Marque Repère",a
Farine de blé T65,Quitoque,a
Champignon de Paris,Blanchaud,a
Pain complet de seigle Pumpernickel,L’epi,a
Eminces de filet de dinde,,a
My muesli choconut low sugar,Mymuesli,a
Flageolets verts,Bonduelle,a
Filets de bar avec peau,SacreBleu,a
Körniger Frischkäse,Penny,a
20 dont 4 œufs offerts Baby Coque datés du jour de ponte,Baby Coque,a
Skyr Nature,logismose,a
Pommes rissolées,Prix Mini,a
Pain paillasse cereale,"La Campanière,Trad p&c",a
Cafe,"Cap d'or,Pro a pro",a
Filets de poulet jaune,,a
Filet de saumon purée de brocolis,Carrefour,a
Cheveux d'ange,La Ferme des quatre Vents,a
Calin extra 0%,Yoplait,a
Penne Rigate,Combino,a
"Poêlée 4 saisons aux haricots verts, pommes de terre, carottes, champignons.",Auchan,a
Houmous de haricots noirs,La Vie Claire,a
Sandwich thon crudités,U,a
Poulet nourri aux graines de lin,Maître Coq,a
Quinoa blond,Lidl,a
Nouilles à l’ancienne aux oeufs frais,Lustucru,a
Foie de boeuf,,a
Petits flocons d’avoine,"",a
Champignons Shiitakés,Monoprix Gourmet,a
Grains de Maïs pour Popcorn,Bleucorn,a
Brochettes de dinde extra-tendre,Maître Coq,a
Paella Royale,U,a
Tagliatelles au basilic,Lanza,a
Fredde infusioni,Pompadour,a
Champignons de Paris émincés,Cap Bio,a
Spiruline,,a
Escalope de dinde,,a
Graines de Chia,La Vie Claire,a
Médaillons de dinde,Corril,a
2 pavés de saumon Tomate Ail Origan,Sacrebleu,a
Pavés de truite,"",a
Épeautre,"Carrefour Bio,Carrefour",a
Filets thon,Eden Gourmet,a
Noix de Saint-Jacques sans corail,,a
Ail aux herbes de Provence,,a
Marrons entier au naturel,,a
SavordOK vaniglia limone,Feeling OK,a
Jeunes pousses Maxi format,Auchan,a
Purée de noisette,Naturéo,a
Fines tartines a la farine de seigle,Jacquet,a
Pates torglioni et boulettes,Toupargel,a
Honey rings granen,Delhaize,a
Framboises,Bioloklock,a
Crousti'bat crunchy,Findus,a
Lait demi-écrémé,"Simpl,Carrefour Discount,produits blancs",a
Poulet du rotisseur,"",a
Skyr bio Mure-Myrtille,Les 2 Vaches,a
Pain de mie complet maxi tranches,CARREFOUR CLASSIC',a
Pains à burger,jacquet,a
Filet tranché de poulet,Le Gaulois,a
Poulet fermier élevé en liberté,Loué,a
Sauce tomate aux olives et câpres,LIDL COMBINO,a
Pain bûcheron,"",a
Banane Mangue Passion,Ethiquable,a
Gaspacho Tomate-Concombre,Priméal,a
Betteraves rouges,"",a
Escalope de dinde extra fine,Maître Coq,a
Falafels de pois chiches cumin menthe,Hari&Co,a
Carottes râpées,Carrefour,a
Carottes Râpées,,a
Farine de noix de coco,Kapthura,a
Fagioli borlotti,"Valfrutta, Conserve Italia",a
Fromage Blanc,Nous anti gaspi,a
Soupe de poisson,,a
Crevettes tropicales tigrées entières crues ASC,Casino,a
Zakia plomb 500,"Panzani, Zakia",a
Bobun poulet teppanyaki,Sushi Gourmet,a
POM'POTES Compotes Gourdes Multivariétés 28x90g Format Familial,"Materne, POM'POTES, Sans sucres ajoutés",a
Flageolets verts cuisinés,Vivien Paille,a
Pomme Vanille Sans sucres ajoutés**Contient des sucres naturellement présents,Auchan,a
Coulis de franboise,,a
Tomates entières pelées,U,a
Riz long grain,Ben's Original,a
Patate Douce 6kg,"",a
Panais 5kg,"",a
Pomme De Terre Non Lavée Monalisa 10kg,"",a
Pomme De Terre Non Lavée Monalisa 25kg,"",a
Oeuf Plein Air Calibre L 180x,"",a
Oeuf Plein Air Gros Calibre - Colis X360,"",a
Oeuf Plein Air Gros Calibre Boîte - Barquette 16x6,"",a
Mâche Lavée 1kg,"",a
Pousse Epinard Lavé 1kg,"",a
Tomate Ronde 57/67 6kg,"",a
Concombre 12x400g/500g,"",a
"Radis Rose Botte 3,6kg","",a
Pousse Roquette Lavé 1kg,"",a
"Laitue 3,6kg","",a
"Salade Sucrine 3x2 Pièces 1,8kg","",a
"Lentilles Blondes 2,5kg","",a
"Lentilles Vertes ~2,5kg","",a
"Millet Décortiqué ~2,5kg","",a
"Pois Chiche ~2,5kg","",a
"Pois Vert Cassé ~2,5kg","",a
Semoule De Millet 500g,"",a
"Quinoa ~2,5kg","",a
Aubergine 3/4 Rang 1 5kg,"",a
Aubergine 3/4 5kg,"",a
"Lentilles Corail ~2,5kg","",a
Crème Fraîche épaisse Entière Fermière BBC 5kg,"",a
Crème Fraîche Liquide Fermière BBC 5kg,"",a
Oeuf Plein Air Gros Calibre - Colis X180,"",a
Oeufs Cage Gros Calibre - Colis X180,"",a
Tomate Grappe Extra 10kg,"",a
Oeufs Plein Air Gros Calibre - Colis X90,"",a
Champignons De Paris Brun BIO - CAT 1 ~2kg,"",a
Portobellos BIO ~2kg,"",a
Champignons De Paris Brun BIO Déclassés ~2kg,"",a
Tomate Coeur De Boeuf CAT1 8kg,"",a
"Tomate Cerise Grappe 3,5kg","",a
Epinard Vrac Grandes Feuilles 3kg,"",a
Poireau 5kg,"",a
Radis Noir 4/5 Pièce X1,"",a
Radis Rose Botte Lavée ~300gX12,"",a
Radis Rouge Botte ~300gX12,"",a
Laitue CAT 1 ~300gX6,"",a
Carottes Jaunes 5kg,"",a
Mâche Lavée Thermoformée 1kg,"",a
Jeunes Pousses Roquette Thermoformé 1kg,"",a
Pomme Gala Cal 190/220gr - Plateau ~7kg,"",a
Pomme Golden Cal 190/220gr - Plateau ~7kg,"",a
Pomme De Terre Laurette  50+(Chaire Ferme) Brossée 10kg,"",a
DESTOCKAGE Bintje Petit Calibre 25kg,"",a
Crème Fraîche épaisse 15% - 5kg,"",a
Crème Fraîche Epaisse 30% - 5kg,"",a
Butternut,"",a
Potimarron ~1kg,"",a
Topinambour 5kg,"",a
Pomme De Terre Anaïs 45+/50+ - Sucrée Et Goûteuse 25kg,"",a
Pomme De Terre Conso Mitraille 25/28 Variété Tournante - 10kg,"",a
Crème Fraîche épaisse Fermière Petit Format BBC 125g,"",a
Crème Fraîche Liquide UHT 35% - 1kg,"",a
Crème Fraîche Liquide UHT 18% - 1kg,"",a
Chou Vert Douzaine ~2kgX12,"",a
Poireau 10kg,"",a
Laitue,"",a
Carottes Violettes 5kg,"",a
Iceberg CAT 1 X10p,"",a
Oeuf Bio Boite De 6,"",a
"Oeuf Bio Calibre L 10,8kg","",a
"Oeuf Bio Calibre M 10,8kg","",a
Oeuf Bio Boîte De 10,"",a
"Araignée De Porc VPF S/V ~2,5kg","",a
Carottes Sable 10kg,"",a
Chou Frisé (chou Kale) 3kg,"",a
Aubergine 5kg,"",a
Carotte Botte 600g,"",a
Poireau 5kg,"",a
"Potimarron 1,6kg","",a
Chou Rouge 3kg,"",a
Chou Blanc 3kg,"",a
"Radis Rose Botte 1,8kg","",a
Farine De Blé Semi Complète T80 BIO 1kg,"",a
Oignon Jaune 5kg,"",a
Oeuf Moyen Calibre BIO,"",a
Oeuf Moyen Calibre BIO Boite De 6,"",a
Radis Noir 3kg,"",a
Pomme Gala Cal 136/165gr - Plateau ~7kg,"",a
Pomme Golden Cal 136/165gr - Plateau ~7kg,"",a
Micropousse De Betterave Jaune 45g,"",a
Crème Liquide UHT 35% 1L,"",a
Pomme Gala Cal 136/165gr - Caisse 14kg,"",a
Kiwi BIO 8kg,"",a
Mâche Barquette 6x150g,"",a
Epinard Vrac ~5kg,"",a
Blette Botte ~1kgx5,"",a
Chou Fleur CAT 2 X6,"",a
"Laitue ~1,8kg","",a
Mâche Lavée Plateau BIO 1kg,"",a
Carotte Sable CAT 2 BIO 12kg,"",a
Poireau BIO 5kg,"",a
"Chou Fleur CAT 2 BIO ~1,5kgX8","",a
Ail Entier épluché 1kg,"",a
Ail Brunoise 1kg,"",a
Aubergine Rondelle 1kg,"",a
Aubergine Cube 1kg,"",a
Betterave épluchée 5kg,"",a
Betterave Rapée 1kg,"",a
Betterave Cube 1kg,"",a
Brocoli Fleurette 1kg,"",a
Brocoli Risotto 1kg,"",a
Carotte Entière épluchée Parmentière 5kg,"",a
Carotte Entière épluchée Parmentière 1kg,"",a
Carotte Râpée 5kg,"",a
Carotte Râpée 1kg,"",a
Carotte Rondelle 1kg,"",a
Carotte Cube 1kg,"",a
Carotte Pot Au Feu 1kg,"",a
Carotte Julienne 1kg,"",a
Carotte Tagliatelle 1kg,"",a
Carotte Brunoise 1kg,"",a
Carotte Batonnet 1kg,"",a
Carotte Spaghetti 1kg,"",a
Céleri Rave Quartier 5kg,"",a
Céleri Rave Quartier 1kg,"",a
Céleri Rave Râpé 5kg,"",a
Céleri Rave Râpé 1kg,"",a
Céleri Rave Cube 1kg,"",a
Céleri Rave Brunoise 1kg,"",a
Céleri Rave Julienne 1kg,"",a
Céleri Rave Tagliatelle 1kg,"",a
Céleri Rave Batonnet 1kg,"",a
Céleri Branche émincé 1kg,"",a
Céleri Branche Cube 1kg,"",a
Céleri Branche Pot Au Feu 1kg,"",a
Champignon émincé Lavé 3kg,"",a
Champignon émincé Non Lavé 3kg,"",a
Champignon émincé Lavé 1kg,"",a
Chou Blanc Quartier 5kg,"",a
Chou Blanc Quartier 1kg,"",a
Chou Blanc émincé 5kg,"",a
Chou Blanc émincé 1kg,"",a
Chou Fleur Fleurette 1kg,"",a
Chou Fleur Risotto 1kg,"",a
Chou Rouge Quartier 5kg,"",a
Chou Rouge Quartier 1kg,"",a
Chou Rouge émincé 5kg,"",a
Chou Rouge émincé 1kg,"",a
Chou Vert Quartier 5kg,"",a
Chou Vert émincé 1kg,"",a
Concombre Entier épluché 5kg,"",a
Concombre Entier épluché 1kg,"",a
Concombre Rondelle Av Peau 1kg,"",a
Concombre Rondelle Ss Peau 1kg,"",a
Concombre Cube Av Peau 1kg,"",a
Concombre Cube Ss Peau 1kg,"",a
Concombre Brunoise 1kg,"",a
Concombre 1/2 Rondelle 1kg,"",a
Échalote épluchée 5kg,"",a
Échalote épluchée 1kg,"",a
Échalote émincée 500g,"",a
Échalote Cube 1kg,"",a
Échalote Brunoise 1kg,"",a
Fenouil émincé 1kg,"",a
Fenouil Cube 1kg,"",a
Fenouil Brunoise 1kg,"",a
Oignon Jaune Entier épluché 5kg,"",a
Oignon Jaune Entier épluché 1kg,"",a
Oignon Jaune émincé 5kg,"",a
Oignon Jaune émincé 1kg,"",a
Oignon Jaune Cube 1kg,"",a
Oignon Jaune Brunoise 1kg,"",a
Oignon Rouge Entier épluché 1kg,"",a
Oignon Rouge émincé 1kg,"",a
Oignon Rouge Cube 1kg,"",a
Oignon Rouge Brunoise 1kg,"",a
Persil émincé 500g,"",a
Persil émincé 125g,"",a
Persillade émincé (ail / Persil) 500g,"",a
Poireau Blanc 5kg,"",a
Poireau Pot Au Feu 5kg,"",a
Poireau émincé 5kg,"",a
Poireau émincé 1kg,"",a
Poireau Julienne 1kg,"",a
Poivron Vert émincé 1kg,"",a
Poivron Vert Cube 1kg,"",a
Poivron Vert Brunoise 1kg,"",a
Poivron Vert Lanière 1kg,"",a
Poivron Rouge émincé 1kg,"",a
Poivron Rouge Cube 1kg,"",a
Poivron Rouge Brunoise 1kg,"",a
Poivron Rouge Lanière 1kg,"",a
Poivron Jaune émincé 1kg,"",a
Poivron Jaune Cube 1kg,"",a
Poivron Jaune Brunoise 1kg,"",a
Poivron Jaune Lanière 1kg,"",a
Trio De Poivron émincé 1kg,"",a
Trio De Poivron Cube 1kg,"",a
Trio De Poivron Brunoise 1kg,"",a
Radis Long équeuté 1kg,"",a
Radis Rond équeuté 1kg,"",a
Radis Rondelle 1kg,"",a
Radis Râpé 1kg,"",a
Radis Cube 1kg,"",a
Radis Julienne 1kg,"",a
Tomate Rondelle 1kg,"",a
Tomate Brunoise 1kg,"",a
Tomate Cube 1kg,"",a
Tomate Quartier 1kg,"",a
Chou Blanc / Chou Rouge 1kg,"",a
Carotte Râpée Bio 1kg,"",a
Champignon Bio émincé 1kg,"",a
Chou Blanc Bio émincé 1kg,"",a
Chou Rouge Bio émincé 1kg,"",a
Oignon Jaune émincé BIO ~1kg,"",a
Poireau émincé BIO ~1kg,"",a
Radis Rond émincé BIO ~1kg,"",a
Chou Chinois émincé 1kg,"",a
Courge Cube 1kg,"",a
Courge Spaghetti 1kg,"",a
Pomme Golden Delicious 136/165g - Caisse ~14kg,"",a
Citron Jaune Filet 1kg,"",a
Avocat CAL 22 - Colis 22 Pièces 4kg,"",a
Tomate Cerise Ronde - Barquette 250g,"",a
Aubergine 5kg,"",a
Poivron Jaune 5kg,"",a
Poivron Vert 5kg,"",a
Poivron Rouge 5kg,"",a
Brocoli 6kg,"",a
Kiwi Litée LR CAT 1 - Plateau 33 Fruits ~3kg,"",a
Chou De Bruxelles 5kg,"",a
Ail Filet 250g,"",a
Céleri Rave ~400gx10,"",a
Betterave Crapaudine Thermo ~4kg,"",a
Betterave Rouge Cuite Thermo Ronde ~4kg,"",a
Potimarron Pièce,"",a
"Butternut ~1,3kg","",a
Banane Antilles Main ~900g,"",a
Basilic 500g,"",a
Champignon De Paris Brun ~3kg,"",a
"Pomme Fuji 170/215 - Plateau ~7,5kg","",a
Pomme Granny 170/215 - Plateau ~7kg,"",a
Ail Pelé ~1kg,"",a
Champignon De Paris Blanc ~3kg,"",a
Chou Vert Frisé Pièce X1,"",a
Les milanaises,Le Gaulois,a
Pomme abricot sans sucres ajoutés**Contient des sucres naturellement présents.,Auchan,a
Pâte à tartiner aux noisettes et cacao BIO,"Graine de choc, Tartimouss!",a
Boeuf extra tendre,Jean Rozé,a
L’amie Veggie,L'AMIE VEGGIE,a
Riz et lentilles au curry,Ben's Original,a
Filet de poulet 🐔 rôti,Fleury Michon,a
Gourmet - Pâtes fraîches aux œufs farcies aux champignons,"Rana,Giovanni Rana",a
"Betteraves de Champagne & chèvre crémeux, pointe de framboise",L'Atelier Blini,a
Pavés de bœuf marinés & sauce roquefort,Lidl,a
Riz Long Grain,Ben's Original,a
Riz Long Grain,BEN'S ORIGINAL,a
Poulet à la moutarde pommes de terre aux artichauts,Seazon,a
Cuisse de dinde,Le Gaulois,a
Escalope de veau,,a
Compote de pommes allégée en sucres,"Auchan, Pouce",a
La belle escalope de dinde,Le Gaulois,a
Compote de pommes bananes allégée en sucres,"Auchan, Pouce",a
Gnocchi bolognese,Gastronomia Somasca,a
Soupe Carotte Lait de coco,Monoprix,a
Tagliolini frais,Palais Des Mets,a
Bessara soupe de pois cassé,,a
Semoule de blé dur de qualité supérieure,Le Renard,a
Filet mignon,L'Étal du Boucher,a
Farine de blé T80,Élibio,a
Ananas extra sweet,,a
Poulet fermier,,a
Le plaisir végétal idéal cuisine fluide à base de riz,Vivre Vert,a
Marrons entiers cuits à la vapeur,Markal,a
Farine de Sarrasin,Naturalia,a
Foies de poulet,Père Dodu,a
Haricots verts extra-fins cueillis et rangés main,Auchan,a
Haricots verts extra-fins cueillis et rangés main,Auchan,a
Filet de poulet,Le Gaulois,a
Marrons entiers,Eric Bur,a
Filets de Colin panure bio,L'assiette bleue,a
Lentilles cuisinees,Athos,a
N° fettuccia antica,Cav. Giuseppe Cocco,a
Skyr Framboise,Siggi's,a
Blé précuit,Cora,a
Saumon sashimi,,a
Muesli aux fruits rouges,"",a
Axoa,,a
Châtaignes Entières pelées,Thiriet,a
Farfalle,Combino,a
Fonds d’artichauts,Thiriet,a
Compote Abricots,Coteaux nantais,a
Blanquette de Dinde à mijoter,Maître Coq,a
Choux-fleurs en fleurettes,Freshona,a
Appel compote,Albert Heijn,a
Jambon à l'ancienne,Tallec,a
Betteraves,,a
Coquillettes,Prix Mini,a
Amandes décortiquées,,a
farine bio Charente,Paysans d'ici,a
2 pavés tendres et savoureux,Charal,a
Tagliatelle Pasta italiana,BELFIORI,a
Pain aux graines,Labelvie,a
Farine de patate douce,Prozis,a
Cerneaux de noix,"U,U Bio",a
Verde frantoio olio extra vergine di oliva italiano,,a
Tagliatelle aux lentille corail bio,Palais des Mets,a
La belle escalope,Le Gaulois,a
Petits pois,D'aucy,a
Pruneaux d’agen dénoyautés,Maître Prunille,a
Dés de Tomates Spécial Sauce,U,a
Filet de poulet,L'etal Du Volailler,a
Tagliatelle laminées citron,,a
Cassoulet toulousain,CLAUDE VETILLARD,a
Muffins aux graines,Dans mon panier,a
Ananas en tranches,Del Monte,a
Farfalle,,a
Faux-filet,Charal,a
Petit pois & Ham Hock Soup,,a
Barres au citron meringué,Comme J'aime,a
Gigot d’agneau***,L'Etal du boucher,a
Farine de blé T55,Monoprix,a
Lait demi ecreme sterilise uht,"Carrefour,Carrefour Bio",a
SKYR Vanille,ísey,a
Compote pommes,Prix Mini,a
Queues de crevettes décortiquées,,a
Purée de tomates,Prix Mini,a
Champignon,Panzani,a
Effiloché de porc au romarain & purée cremeuse de chou-fleur,Seazon,a
compote de pommes sans sucre ajouté,Vergers gourmands,a
Pomme,Auchan,a
Guacamole extra aux avocats frais,"Auchan, Auchan Premium, Auchan Collection",a
Girasoli aux Légumes du Soleil,"Rana,Giovanni Rana",a
Fruits à tartiner,Beyer,a
Pain de Mie aux Céréales,Souma (H.market),a
Petits Pois  Carottes,D'aucy,a
Light et free citron,Danone,a
Filets de poulet,Corril,a
Mousse au fromage blanc sur lit de fruits,LIGHT & FREE 0%,a
Pain complet,Intermarché,a
Sauce tomate olives,Auchan,a
Morilles sauvages,"Metro Chef,Metro",a
Cuisses de lapin,Bruno Siebert,a
Chicken bolo au chou-fleur,Seazon,a
Tomates pelées entières au jus,,a
Riz basmati Bio,Uncle Ben's,a
Pilon Poulet jaune du Grand Est,"",a
Poulet Basquaise,Les Saveurs du Clavon,a
Pâtes d'Alsace Coquillettes,"U Saveurs, U",a
Penne au lin,Lazzaretti,a
Demi baguette aux céréales,Carrefour,a
Amandes décortiquées,,a
Auchan lait vitamine demi-ecreme bt 1l,Auchan,a
Médaillons d'aiguillette de dinde,L'etal Du Volailler,a
Coulis de tomate,Un Grain de Cuisine,a
Protéine vegetale Riz cacao,"Biofair,Biofair Nutrition",a
Boule de campagne,,a
Fromage blanc au lait demi-écrémé 3% de matière grasse,Eco +,a
"Fromage blanc engagé 3,2% de matière grasse",Délisse engagé,a
1 Faux-Filet,Charal,a
Le bon Végétal - Boulettes aux légumes,Herta,a
"Salade de Betteraves, Moutarde à l'Ancienne",Bonduelle,a
Crozet savoie,,a
BOL DE FRUITS EXOTIQUES,,a
Petit biscuit avoine & framboise,Chabrior,a
Granola Graines de courge - Pavot,Joody,a
Blanc d'oeuf,Cocotine,a
Langue de boeuf,,a
Poulet fermier bio,L'etal Du Volailler,a
2 rôtis filet de porc,Boucherie St Clément,a
Sauce tomate basilic,"U Bio, U",a
Purée de tomate,Gustodoro,a
Filets de bar avec peau,Findus,a
Auchan haricot vert extra fin deja cuit 750g,Auchan,a
Pain de mie nature,Souma,a
Sushi,,a
SKYR Fraise,SKYR,a
lentilles vertes germées de France,,a
Farine T65,Farine Goutiere,a
Lasagnes,Carrefour Bio,a
Tortilla Wraps Beetroot (Lidl),Vemondo,a
Pates alphabet p'tits prods bio 500g,Fiorini,a
Carottes de vichy,planète vegetal,a
Alfieri,Alfieri,a
Houmous Extra - aux citrons confits et menthe - sans conservateur,"Auchan, Auchan Premium, Auchan Collection",a
Tempeh,Esselunga,a
"spaghetti Al Nero si seppa, spaghetti à l'encre de seiche",casa milo,a
Pâte à filo,Bahadourian,a
Pruneaux d'Agen dénoyautés,Maitre Prunille,a
Escalopes de dindes,,a
Filet mignon de porc,Boucherie St Clément,a
Escalope de dinde,Maître Coq,a
Cubes de filet de dinde,,a
Fesa di tacchino affettata,Salumificio Volpi,a
Whole blueberries,,a
Foie de veau,,a
Dried Chrysanthemum,Golden lily,a
Tubes d'encornets farcis aux légumes,Toupine et Cabesselle,a
Eau petillante,Bonneval,a
Baies de goji,"",a
CÈPES SÉCHÉS,Carrefour,a
Mais doux,Carrefour,a
Haricots blancs a la tomate,,a
Aiguillettes de poulet blanc,,a
Pain de mie complet,Jacquet,a
Risotto au safran,"Casale Paradiso, Al dente",a
Foul broad beans bajela,,a
Aiguillettes de poulet Recette Thym Citron,,a
Darne de saumon sauvage,"",a
Lait Demi écrémé Délisse,,a
Hamburge suino filiera,,a
yfood Riegel Brownie & Roasted Nuts,YFood,a
Houmous + rainbow slaw,,a
Haricots blancs,Maayane,a
Coucous,,a
"CHAMPIGNONS NOIRS sachet coussin ""COOK"" 40g*",Cook,a
Isey Skyr - Skyr authentique d'origine islandaise,Isey,a
Farina pe polenta taragna rapida,Moro,a
Dos de lieu noir,"",a
Brandade de Morue,Coop,a
Escalope de Dinde,Maître Coq,a
Bagels Montreal style,,a
Tofu fumé,,a
Fillets keta salmon,,a
Rillettes de thon,"Ronde des Mers,Marque Repère",a
Filets de poulet,Maître Coq,a
Avocat Hass,"",a
Moules du pacifique cuites,Carrefour,a
Filet mignon de Porc,L'Étal du Boucher,a
"",Florette,a
Pain aux noix biologique,,a
Farine pois chiche bio,,a
"Linguine, poireau citron-moutarde & dorade",Seazon,a
Fruits secs du monde,,a
Le pouvoir des fruits Boost,St Mamet,a
Le pouvoir des fruits Bien-être,St Mamet,a
Poulet bio,Lidl,a
Garnelen Naturbelassen,Edeka,a
Ferme & fondant chocolat,"",a
Betteraves rouges,Kultive,a
Bigoli frais,Palais Des Mets,a
Rigatoni 500g,valfleuri,a
Duo de riz dos de cabillaud,Carrefour,a
Palette d’Alsace à la diable,,a
Escalope de dinde,Maître Coq,a
Rutabagas,Thiriet,a
Anneaux d’encornets,,a
Betteraves rouges en tranches,Bonduelle,a
Chips Poppées Bio échalotes persil ciboulettte,NoCoé,a
Aricots verts extra fins larroche,,a
Paquita - tortillons au piment d'Espelette,Patrick Cadix,a
Farine de sarrasin,CARREFOUR BIO,a
Cuisses de lapin coupées en morceaux,Thiriet,a
"Muesli Fruits et NoixRaisins, Noisettes, Noix de coco",Auchan Bio,a
Lait demi écrémé,"",a
Émincés aux protéines de pois,Koro,a
Sandwich poulet rôti,"",a
Aiguillettes de poulet,Auchan,a
Good gout baby,Good Goût,a
2 demi baguettes precuites,Toupargel,a
Trío de quinoa a la mexicaine,Simplement Bon et bio,a
Céleste,,a
"Haricot vert Poulet, sans morceaux",Famili baby Bio,a
Haricots blancs à la Tomate,Jardin biologique,a
Fraises entières,Paquito,a
Jambonneau de porc,Comte de Bellou,a
Asperges pic-nic,,a
1 Onglet,Charal,a
Quinoa blanc,Naturéo,a
L'Artueuse Pulpe de tomates,Rochefontaine,a
poulet fermier jaune,,a
Carottes finement rapees,,a
Granola Chocolate Crunch,Holie,a
Chair de tomates,Agidra,a
Œufs de poules élevées plein air,,a
Fruits rouges surgelés,,a
1 Faux-filet,Charal,a
Emincé provençal veggie,Bjorg,a
"",McCain,a
Double concentré de tomates,Prix Mini,a
Haricots façon chili,Jardin biologique,a
Farine de blé noir,"",a
Galettes épeautre,Casino Bio,a
Farine épeautre,Agidra,a
Muesli croustillant protéiné Bio réduits en sucres,Karelea,a
Pain de mie Farine de blé et Pois Chiches,Jacquet,a
Risotto alle verdure,Casale Paradiso,a
Sorbet plein fruit Mangue 500G/750ml 2022,L'Angélys,a
HiPRO Saveur Vanille-Cookie,Danone,a
Aveia Original 100% integral,Jerónimos,a
Double concentré de tomate,Prix Mini,a
Lieu noir,,a
Sorbet plein fruit Pêche de Vigne 500G/750ml 2022,L'Angélys,a
Filets de merlu blanc MSC panés - 250g - Frais,Cité marine,a
Quinoa Sol,,a
Oeufs,Les Fermiers de Loué,a
Paccheri 77,Alberto Poiatti,a
Tomates pelées entières,Savino,a
